site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,bifarius,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,bifarius,m,frg,Dugaldia.hoopesii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Copper.Creek,CC,2016,15-Jul-16,197,11,JEO,13:53:00,14:53:00,60,mostlyclear.warm,wet,w,1,Bombus,appositus,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,aspen,a,1,Bombus,flavifrons,m,frg,Erigeron.elatior,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Trifolium.repens,pollen
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,m,frg,Cirsium.parryi,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Erigeron.elatior,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,m,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,flavifrons,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
Avery.Wash,AW,2016,2-Aug-16,215,14,JEO,NA,NA,60,NA,dry,d,1,Bombus,bifarius,w,frg,Heliomeris.multiflora,nectar
